elapsed_time,distance,sensor,x_pos,y_pos,value,condition,position,section,section2
2673,0.5,1_1,1,1,45.08,0.5 cm,1,Outside,Corner
2727,0.5,1_1,1,1,45.92,0.5 cm,1,Outside,Corner
2781,0.5,1_1,1,1,45.15,0.5 cm,1,Outside,Corner
2834,0.5,1_1,1,1,46.31,0.5 cm,1,Outside,Corner
2888,0.5,1_1,1,1,45.15,0.5 cm,1,Outside,Corner
2941,0.5,1_1,1,1,45.92,0.5 cm,1,Outside,Corner
2995,0.5,1_1,1,1,45,0.5 cm,1,Outside,Corner
3048,0.5,1_1,1,1,46.15,0.5 cm,1,Outside,Corner
3102,0.5,1_1,1,1,45.23,0.5 cm,1,Outside,Corner
3155,0.5,1_1,1,1,46.08,0.5 cm,1,Outside,Corner
3210,0.5,1_1,1,1,44.46,0.5 cm,1,Outside,Corner
3263,0.5,1_1,1,1,46.15,0.5 cm,1,Outside,Corner
3316,0.5,1_1,1,1,45.15,0.5 cm,1,Outside,Corner
3369,0.5,1_1,1,1,46.08,0.5 cm,1,Outside,Corner
3424,0.5,1_1,1,1,44.69,0.5 cm,1,Outside,Corner
3477,0.5,1_1,1,1,46,0.5 cm,1,Outside,Corner
3530,0.5,1_1,1,1,45.23,0.5 cm,1,Outside,Corner
3584,0.5,1_1,1,1,47,0.5 cm,1,Outside,Corner
3638,0.5,1_1,1,1,45.38,0.5 cm,1,Outside,Corner
3691,0.5,1_1,1,1,46.08,0.5 cm,1,Outside,Corner
3744,0.5,1_1,1,1,45,0.5 cm,1,Outside,Corner
3799,0.5,1_1,1,1,46.54,0.5 cm,1,Outside,Corner
3852,0.5,1_1,1,1,45.31,0.5 cm,1,Outside,Corner
3905,0.5,1_1,1,1,46.23,0.5 cm,1,Outside,Corner
3958,0.5,1_1,1,1,44.77,0.5 cm,1,Outside,Corner
4013,0.5,1_1,1,1,46,0.5 cm,1,Outside,Corner
4066,0.5,1_1,1,1,45.08,0.5 cm,1,Outside,Corner
4119,0.5,1_1,1,1,46,0.5 cm,1,Outside,Corner
4172,0.5,1_1,1,1,44.92,0.5 cm,1,Outside,Corner
4227,0.5,1_1,1,1,45.85,0.5 cm,1,Outside,Corner
4280,0.5,1_1,1,1,45.15,0.5 cm,1,Outside,Corner
4333,0.5,1_1,1,1,46,0.5 cm,1,Outside,Corner
4386,0.5,1_1,1,1,44.92,0.5 cm,1,Outside,Corner
4441,0.5,1_1,1,1,46.31,0.5 cm,1,Outside,Corner
4494,0.5,1_1,1,1,44.92,0.5 cm,1,Outside,Corner
4547,0.5,1_1,1,1,46.08,0.5 cm,1,Outside,Corner
4601,0.5,1_1,1,1,45.54,0.5 cm,1,Outside,Corner
4655,0.5,1_1,1,1,46.08,0.5 cm,1,Outside,Corner
4709,0.5,1_1,1,1,44.77,0.5 cm,1,Outside,Corner
4762,0.5,1_1,1,1,46.23,0.5 cm,1,Outside,Corner
4815,0.5,1_1,1,1,45.08,0.5 cm,1,Outside,Corner
4870,0.5,1_1,1,1,46.15,0.5 cm,1,Outside,Corner
4923,0.5,1_1,1,1,45,0.5 cm,1,Outside,Corner
4976,0.5,1_1,1,1,45.31,0.5 cm,1,Outside,Corner
5029,0.5,1_1,1,1,44.77,0.5 cm,1,Outside,Corner
5083,0.5,1_1,1,1,46.23,0.5 cm,1,Outside,Corner
5137,0.5,1_1,1,1,44.92,0.5 cm,1,Outside,Corner
5190,0.5,1_1,1,1,45.54,0.5 cm,1,Outside,Corner
5243,0.5,1_1,1,1,44.38,0.5 cm,1,Outside,Corner
5297,0.5,1_1,1,1,46.23,0.5 cm,1,Outside,Corner
5351,0.5,1_1,1,1,44.85,0.5 cm,1,Outside,Corner
5404,0.5,1_1,1,1,45.92,0.5 cm,1,Outside,Corner
5457,0.5,1_1,1,1,45,0.5 cm,1,Outside,Corner
5512,0.5,1_1,1,1,46,0.5 cm,1,Outside,Corner
5565,0.5,1_1,1,1,44.92,0.5 cm,1,Outside,Corner
5619,0.5,1_1,1,1,46.15,0.5 cm,1,Outside,Corner
5672,0.5,1_1,1,1,44.23,0.5 cm,1,Outside,Corner
5726,0.5,1_1,1,1,45.46,0.5 cm,1,Outside,Corner
5780,0.5,1_1,1,1,45,0.5 cm,1,Outside,Corner
5833,0.5,1_1,1,1,46.38,0.5 cm,1,Outside,Corner
5886,0.5,1_1,1,1,45.08,0.5 cm,1,Outside,Corner
5941,0.5,1_1,1,1,45.62,0.5 cm,1,Outside,Corner
5994,0.5,1_1,1,1,45.15,0.5 cm,1,Outside,Corner
6047,0.5,1_1,1,1,46.23,0.5 cm,1,Outside,Corner
6100,0.5,1_1,1,1,45.15,0.5 cm,1,Outside,Corner
6155,0.5,1_1,1,1,45.69,0.5 cm,1,Outside,Corner
6208,0.5,1_1,1,1,44.23,0.5 cm,1,Outside,Corner
6261,0.5,1_1,1,1,46.15,0.5 cm,1,Outside,Corner
6315,0.5,1_1,1,1,44.92,0.5 cm,1,Outside,Corner
6369,0.5,1_1,1,1,45.85,0.5 cm,1,Outside,Corner
6422,0.5,1_1,1,1,44.31,0.5 cm,1,Outside,Corner
6476,0.5,1_1,1,1,45.62,0.5 cm,1,Outside,Corner
6530,0.5,1_1,1,1,45,0.5 cm,1,Outside,Corner
6583,0.5,1_1,1,1,45.92,0.5 cm,1,Outside,Corner
6637,0.5,1_1,1,1,44.46,0.5 cm,1,Outside,Corner
6690,0.5,1_1,1,1,45.38,0.5 cm,1,Outside,Corner
6744,0.5,1_1,1,1,45,0.5 cm,1,Outside,Corner
6798,0.5,1_1,1,1,45.77,0.5 cm,1,Outside,Corner
6851,0.5,1_1,1,1,44.92,0.5 cm,1,Outside,Corner
6904,0.5,1_1,1,1,45.69,0.5 cm,1,Outside,Corner
6958,0.5,1_1,1,1,44.08,0.5 cm,1,Outside,Corner
7011,0.5,1_1,1,1,45.92,0.5 cm,1,Outside,Corner
7065,0.5,1_1,1,1,45,0.5 cm,1,Outside,Corner
7118,0.5,1_1,1,1,46,0.5 cm,1,Outside,Corner
7172,0.5,1_1,1,1,44.23,0.5 cm,1,Outside,Corner
7226,0.5,1_1,1,1,45.92,0.5 cm,1,Outside,Corner
7279,0.5,1_1,1,1,44.85,0.5 cm,1,Outside,Corner
7332,0.5,1_1,1,1,46.15,0.5 cm,1,Outside,Corner
7387,0.5,1_1,1,1,44.23,0.5 cm,1,Outside,Corner
7440,0.5,1_1,1,1,45.15,0.5 cm,1,Outside,Corner
7493,0.5,1_1,1,1,44.31,0.5 cm,1,Outside,Corner
7547,0.5,1_1,1,1,46.15,0.5 cm,1,Outside,Corner
7601,0.5,1_1,1,1,44.77,0.5 cm,1,Outside,Corner
